Espanol,English
que,that
de,of
no,No
a,a
la,the
el,the
es,it is
y,Y
en,in
lo,it
un,a
por,by
qué,what
me,I
una,a
te,tea
los,the
se,I know
con,with
para,for
mi,me
está,this
si,Yes
bien,right
pero,but
yo,me
eso,it's
las,the
sí,Yes
su,its
tu,your
aquí,here
del,of
al,to the
como,What
le,you
más,plus
esto,this
ya,Already
todo,all
esta,is
vamos,we go
muy,very
hay,there are
ahora,now
algo,something
estoy,am
tengo,I've got
nos,us
tú,your
nada,any
cuando,when
ha,he has
este,East
sé,HE
estás,are
así,So
puedo,Can I
cómo,What
quiero,I want
sólo,single
soy,am
tiene,have
gracias,Thank you
o,either
él,the
bueno,Okay
fue,it was
ser,be
hacer,do
son,are
todos,everybody
era,it was
eres,are
vez,time
tienes,you have
creo,I think
ella,she
he,He
ese,that
voy,I go
puede,can
sabes,you know
hola,hello
sus,their
porque,because
dios,god
quién,who
nunca,never
dónde,where
quieres,you want
casa,House
favor,favour
esa,this
dos,two
tan,so
señor,mister
tiempo,weather
verdad,TRUE
estaba,I was
mejor,better
están,is it so
va,goes
hombre,men
usted,you
mucho,much
hace,does
entonces,then
siento,I feel
tenemos,we have
puedes,you may
ahí,there
ti,you
vida,life
ver,watch
alguien,someone
sr,Mr
hasta,until
sin,without
mí,my
solo,only
años,years
sobre,on
decir,tell
uno,one
siempre,forever
oh,Oh
ir,to go
cosas,stuff
también,also
antes,before
has,you have
ni,neither
mis,my
día,day
estar,be
estamos,we're
noche,night
nadie,no one
otra,other
quiere,wants
parece,It seems
nosotros,us
poco,little bit
padre,dad
trabajo,worked
gente,people
mira,look
vas,you go
sea,be
les,them
donde,where
mismo,same
hecho,done
ellos,they
dijo,said
pasa,happens
dinero,money
hijo,son
tal,such
otro,other
hablar,speak
seguro,sure
claro,Sure
estas,these
lugar,place
mundo,world
amigo,dude
espera,wait
mierda,shit
han,they have
tus,your
sabe,knows
después,after
momento,moment
desde,since
fuera,outside
cosa,stuff
tipo,Type
mañana,morning
podemos,can
dije,said
gran,great
necesito,needed
estado,condition
podría,could
acuerdo,agreement
papá,father
tener,to have
dice,He says
mío,Own
crees,You believe
buena,good
gusta,like
nuestro,our
nuevo,new
será,will be
haciendo,making
días,days
nombre,Name
buen,good
había,there was
ven,come
